from,to,weight,title
56,87,1,"i dont know why indians are so delusional. setting your own goal posts that you know you can achieve even if they make no sense. pakistan never denied jem existence in pakistan so what is the big deal? pakistan has confessed their contact with azhar masood, not jem. learn to differentiate organization with individual&gt;No country will share details of their military operations and that includes US who has scarcely given details about their counter terrorist ops in past and present.no one is asking for military details. this is a bombing, you can easily prove it by satellite images which won't compromise any military details. &gt; If Pakistan so staunchly believes that no terrorists are being raised on it's soil, why are you hell bent on asking for a proof?because u keep crying about it. being a neighbour country, we have to look into your reservations. or you think we should ignore you? that would be better?"
56,99,2,"he didn't say that. jem is banned, not azhar mehmood. how is it very well documented if you have no proof? yes we require proof, we will not do something just because you said so. likewise we don't expect you to do anything just because we said so. its illogical. "
57,54,1,"Yes, let me call my friend at FBI."
58,21,1,"But but when international media and analysis pointing other way. At some point you need to tell the whole world. It's not like you have some serious supersecret facility. You claim to bomb the terrorist facility in other country.  What's the purpose of claiming and not showing anything. Edit : if India possesses any technology that's not open to world then I am up for it. But again there's proof floating that there is no damage done. I am behind my govt but if something starts to smell as propaganda I WILL question. "
58,50,2,"Why this username reminds me of my neighboring country!  OK.  My username is same in CS:GO.Let's meet sometime,  you will play terrorist and I will play counter terrorist. Deal? "
58,63,1,Let elections come near like 10 days to go!! 
58,126,1,WTF 
58,91,1,Mama elections 
59,121,1,"Looks like they're really sweeping out the terrorists, sleeper cells, it is a difficult situation to people of Kashmir."
60,28,1,"No he is not kidding.  Even though Pakistan overall has a worse image in the international community, Pakistan has come out looking like the more sensible state in this specific episode.  India claimed surgical strikes which international community did not object to but then presented no evidence that even 1 militant was killed.  The international social media was retweeting pictures of trees being hit.  Then there were images of Indian jet wreckage and also a live Indian pilot sipping tea with Pakistan army.All this while Imran Khan kept pleading for peace and Modi was making delayed empty statements. Modi's tactics backfired and India lost the PR battle and this is what most articles on western media outlets reflected.  This isn't to say Pakistan overall has the better image around the world, it doesn't but in this instance they came out looking better.  At the very least in the eyes of the international public."
60,97,1,"Dogfighting is all about positioning.  Whoever gets behind has a massive advantage, even if their aircraft is inferior.  If F-16s were on the run then a Mig 21 can shoot it from behind, same can be said of a Pakistani Mirage shooting down Sukhoi 30 in retreat, it doesn't say much about the pilots capability if that is the case."
61,56,1,Its happened on 3:30 am on 26 the feb
61,124,1,"You don't chose to be a hero, you got selected as hero"
61,72,3,"These rumours are getting worse than football transfer rumoursNo war have been fought till today? Ending terrorism would need a full scale invasion like America did to Afghanistan , India ,now and not in future would be able to mount that type of invasion Yeah it should ,and as before diplomacy would be the way , terrorism exist for the reason , and reason is people have invested in it to exist I think it just a business model to keep India and Pakistan on brink of war."
61,131,1,35 sounds believable
62,10,1,"Check sources for other news channels and Ndtv channel. While other channels are relying on information from twitter handles. Ndtv is discussing things through the information provided by Indian defence during press conference.Also please go through IAF press conference on 2nd day with reports published on news channels. You will find out that there is over exaggeration on all the news channels other than NDTV. "
62,85,1,"India is changing narrative from victory to intention. First day govt leaked it to media that around 300 people killed. Next day Indian pilot caught by Pakistan and Indian defence had to do a press briefing in this they claimed its immature to assume casualties. Now international official sources have confirmed that India had intelligence to the target but we did not hit the target. If we have to put fear in Pakistan we have to show our capability by hitting them right on target not by showing our  intent or chest thumping with unverified numbers. "
63,110,1,"I think the same, but international media have no reason to think so.They need to provide evidence to convince other people. "
64,102,1,"The Indian government is refusing to provide evidence, therefore the Pakistanis are liars.Wah. Just brilliant."
65,14,1,And the fact that he thought of swallowing those documents. Showed real composure throughout. He did not seem to crack under pressure and did his job right. 
65,122,1,It's really hard to give ABP news credibility after that shit storm they've pulled. 
65,119,1,All we're saying is that releasing that edited video serves nothing good for either country. And Pakistan would've been in big trouble if they killed the WC.
66,35,1,Has there ever been an opposition so weak?
66,56,1,"But don't all countries except china already accept JeM as a terrorist organisation? and after them taking responsibility for pulwama attack i don't understand why this isn't a bigger issue. They talk like we're just speculating this shit with no proof. It doesn't matter if pakistan doesn't want to acknowledge them as a terrorist group, but if they accept they house them there should be more pressure to hand over him to us. Shit like this is the reason i stand behind government's decision of being more bold against them (still don't want any war tho)"
66,71,1,How do news channels not run clips like this 24*7 is something i'll never understand
66,111,1,Our army has never given a reason to not trust them on the other hand yours...
67,19,1,"Are bhai, their foreign minister has the balls to go on BBC and claim that JeM involvement not confirmed in pulwama Attack. Highly recommend you watch that interview! He pretty much gives the whole game away!Dont ever expect honesty or truth from this part of the world, they have a deeply ingrained insecurity that allows them to perversely rationalize every aspect of their nations behaviour."
67,100,1,"World is not = to global media. Are you high?Paks 2 biggest allies stood by and watched India be the aggressor for the first time ever and did nothing.. UN Security Council March petition to designate Azhar as global terrorist is still going to happen. If you want to cherrypick articles from known ultra liberal publications (no offence to them, am a liberal myself), thats your choice. But the facts are evident from the actions (or lack thereof) that global powers have undertaken in response to this conflict. "
67,111,1,"Hey Lahori guy, welcome! People who live in glass houses should not throw Osama Bin Ladens. Oops!! I meant stones! "
67,113,1,"Equally damning? I certainly dont think so.One side tried and arguably failed to eliminate a dangerous threat, the other has spilled the beans (directly and indirectly) that they harbour and maybe even support these groups.. I know which one Id take.."
68,54,1,If there's any such known public service people would have already jumped on it and shared images on twitter. 
69,91,1,"&gt;  ISI story of Col Salim)What is that?"
70,88,1,"Idk how well it summaries. The anchor tries to pin the 300 number on the government which is not true and talks like the civilians are entitled a briefing on a military operation. There is a very obvious  bias in the narrative being pushed."
71,117,1,"Bruh, I know this is a theory but damn, this makes perfect sense. You good. Let's see if we get more info.&gt;Pakistan denied using F-16s in the operation, said it was JF-17s.I don't think they said it was JF17s, iirc they only said F-16s weren't used. "
72,35,1,Lol yesterday he tweeted that Pakistan has killed scores of Indian officer by sniping them. He is a rumor mongerer. 
